区市町名,町丁目名,地盤分類,建物倒壊危険度ランク,火災危険度ランク,総合危険度ランク,緯度,経度,最寄駅,路線
千代田区,神田須田町１丁目,沖積低地2,3,2,2,35.696224,139.769836,小川町<br>淡路町<br>神田,都営新宿線<br>東京メトロ丸ノ内線<br>東京メトロ銀座線
千代田区,神田須田町２丁目,沖積低地2,3,1,2,35.695816,139.773056,岩本町<br>秋葉原<br>秋葉原<br>秋葉原<br>神田<br>秋葉原<br>秋葉原,都営新宿線<br>JR総武線<br>JR山手線<br>JR京浜東北線<br>東京メトロ銀座線<br>東京メトロ日比谷線<br>つくばエクスプレス線
千代田区,神田駿河台１丁目,台地1,1,1,1,35.698002,139.762436,御茶ノ水<br>御茶ノ水<br>御茶ノ水<br>新御茶ノ水<br>神保町<br>神保町<br>神保町,JR中央線<br>JR総武線<br>東京メトロ丸ノ内線<br>東京メトロ千代田線<br>都営三田線<br>都営新宿線<br>東京メトロ半蔵門線
千代田区,神田駿河台２丁目,台地1,1,1,1,35.700069,139.762009,御茶ノ水<br>御茶ノ水<br>御茶ノ水<br>新御茶ノ水<br>神保町<br>神保町<br>神保町,東京メトロ丸ノ内線<br>JR中央線<br>JR総武線<br>東京メトロ千代田線<br>都営新宿線<br>東京メトロ半蔵門線<br>都営三田線
千代田区,神田駿河台３丁目,台地1,1,1,1,35.696732,139.764725,新御茶ノ水<br>小川町<br>淡路町,東京メトロ千代田線<br>都営新宿線<br>東京メトロ丸ノ内線
千代田区,神田駿河台４丁目,台地1,1,1,1,35.698593,139.765854,新御茶ノ水<br>御茶ノ水<br>御茶ノ水<br>御茶ノ水<br>小川町,東京メトロ千代田線<br>JR総武線<br>JR中央線<br>東京メトロ丸ノ内線<br>都営新宿線
千代田区,神田多町２丁目,沖積低地2,4,2,3,35.693855,139.769196,神田<br>淡路町<br>小川町<br>神田<br>神田<br>神田,東京メトロ銀座線<br>東京メトロ丸ノ内線<br>都営新宿線<br>JR中央線<br>JR山手線<br>JR京浜東北線
千代田区,神田司町２丁目,沖積低地2,3,1,2,35.693462,139.767517,淡路町<br>小川町<br>神田<br>神田<br>神田<br>神田,東京メトロ丸ノ内線<br>都営新宿線<br>東京メトロ銀座線<br>JR山手線<br>JR京浜東北線<br>JR中央線
千代田区,神田富山町,沖積低地2,3,2,2,35.693672,139.77359,神田<br>岩本町<br>神田<br>神田<br>神田<br>秋葉原,東京メトロ銀座線<br>都営新宿線<br>JR京浜東北線<br>JR山手線<br>JR中央線<br>東京メトロ日比谷線
千代田区,神田錦町１丁目,沖積低地2,2,1,1,35.691746,139.76416,淡路町<br>小川町<br>大手町,東京メトロ丸ノ内線<br>都営新宿線<br>東京メトロ半蔵門線
千代田区,神田錦町２丁目,台地1,1,1,1,35.691986,139.763046,淡路町<br>小川町<br>大手町,東京メトロ丸ノ内線<br>都営新宿線<br>東京メトロ半蔵門線
千代田区,神田錦町３丁目,谷底低地3,1,1,1,35.692326,139.760727,竹橋<br>神保町<br>神保町<br>神保町<br>大手町,東京メトロ東西線<br>都営三田線<br>東京メトロ半蔵門線<br>都営新宿線<br>東京メトロ半蔵門線
